source,target,anchor_text,link_type,target_page_role
"/subjects/math/algebra/expressions-equations/combining-like-terms/","/subjects/math/calculus/","Calculus Open the full course map","mobile-navigation","course-hub"
"/subjects/math/algebra/expressions-equations/combining-like-terms/","/subjects/math/calculus/limits-continuity/","Chapter 1 Limits and Continuity","mobile-navigation","unit-hub"
"/subjects/math/algebra/expressions-equations/combining-like-terms/","/subjects/math/calculus/derivatives/","Chapter 2 Derivatives · Units 2A and 2B","mobile-navigation","unit-hub"
"/subjects/math/algebra/expressions-equations/combining-like-terms/","/subjects/math/calculus/integrals/","Chapter 3 Integrals · Units 3A and 3B","mobile-navigation","unit-hub"
"/subjects/math/algebra/expressions-equations/combining-like-terms/","/subjects/math/calculus/sequences-and-series/","Chapter 4 Sequences and Series · Units 4A and 4B","mobile-navigation","unit-hub"
"/subjects/math/algebra/expressions-equations/combining-like-terms/","/glossary/math/","Learn more →","global-navigation","glossary-hub"
"/subjects/math/algebra/expressions-equations/combining-like-terms/","/glossary/math/","Math glossary →","global-navigation","glossary-hub"
"/subjects/math/algebra/expressions-equations/combining-like-terms/","/subjects/","Subjects","breadcrumb","subject-hub"
"/subjects/math/algebra/expressions-equations/combining-like-terms/","/subjects/math/","Mathematics","breadcrumb","subject-hub"
"/subjects/math/algebra/expressions-equations/combining-like-terms/","/subjects/math/algebra/","Algebra","breadcrumb","course-hub"
"/subjects/math/algebra/expressions-equations/combining-like-terms/","/subjects/math/algebra/expressions-equations/","Equations","breadcrumb","quick-answer"
"/subjects/math/algebra/expressions-equations/combining-like-terms/","/subjects/math/algebra/expressions-equations/order-of-operations-with-variables/","← Previous in Equations Order of operations","sequential-previous","method-guide"
"/subjects/math/algebra/expressions-equations/combining-like-terms/","/subjects/math/algebra/expressions-equations/distributive-property/","Next in Equations → Distributive property","sequential-next","method-guide"
"/subjects/math/algebra/expressions-equations/combining-like-terms/","/","≥ Better Grades","footer","home"
"/subjects/math/algebra/expressions-equations/combining-like-terms/","/subjects/","Subjects","footer","subject-hub"
"/subjects/math/algebra/expressions-equations/combining-like-terms/","/resources/","Resources","footer","resource-library"
"/subjects/math/algebra/expressions-equations/combining-like-terms/","/answers/","Answers","footer","directory"
"/subjects/math/algebra/expressions-equations/combining-like-terms/","/tools/","Tools","footer","directory"
"/subjects/math/algebra/expressions-equations/combining-like-terms/","/practice/","Practice","footer","directory"
"/subjects/math/algebra/expressions-equations/combining-like-terms/","/glossary/math/","Math glossary","footer","glossary-hub"
"/subjects/math/algebra/expressions-equations/combining-like-terms/","/glossary/math/conventions/","Math conventions","footer","glossary-term"
"/subjects/math/algebra/expressions-equations/combining-like-terms/","/how-we-verify/","How we verify","footer","policy"
"/subjects/math/algebra/expressions-equations/combining-like-terms/","/editorial-policy/","Editorial policy","footer","policy"
"/subjects/math/algebra/expressions-equations/combining-like-terms/","/source-policy/","Sources & licensing","footer","policy"
"/subjects/math/algebra/expressions-equations/combining-like-terms/","/corrections/","Corrections","footer","policy"
"/subjects/math/algebra/expressions-equations/combining-like-terms/","/about/","Why Better Grades","footer","policy"
"/subjects/math/algebra/expressions-equations/combining-like-terms/","/privacy/","Privacy","footer","policy"
"/subjects/math/algebra/expressions-equations/combining-like-terms/","/accessibility/","Accessibility","footer","policy"
"/subjects/math/algebra/expressions-equations/distributive-property/","/","≥ Better Grades","global-navigation","home"
"/subjects/math/algebra/expressions-equations/distributive-property/","/subjects/math/algebra/","Algebra Foundations through functions","global-navigation","course-hub"
"/subjects/math/algebra/expressions-equations/distributive-property/","/subjects/math/calculus/","Calculus The complete course navigator","global-navigation","course-hub"
"/subjects/math/algebra/expressions-equations/distributive-property/","/subjects/math/","All mathematics Browse every course and resource","global-navigation","subject-hub"
"/subjects/math/algebra/expressions-equations/distributive-property/","/subjects/math/calculus/limits-continuity/","Chapter 1 Limits and Continuity","global-navigation","unit-hub"
"/subjects/math/algebra/expressions-equations/distributive-property/","/subjects/math/calculus/derivatives/","Chapter 2 Derivatives · Units 2A and 2B","global-navigation","unit-hub"
"/subjects/math/algebra/expressions-equations/distributive-property/","/subjects/math/calculus/integrals/","Chapter 3 Integrals · Units 3A and 3B","global-navigation","unit-hub"
"/subjects/math/algebra/expressions-equations/distributive-property/","/subjects/math/calculus/sequences-and-series/","Chapter 4 Sequences and Series · Units 4A and 4B","global-navigation","unit-hub"
"/subjects/math/algebra/expressions-equations/distributive-property/","/search/","Find an answer Search lessons, methods, and examples","global-navigation","search"
"/subjects/math/algebra/expressions-equations/distributive-property/","/practice/math/calculus/","Calculus practice Quizzes, reviews, and exams","global-navigation","assessment"
"/subjects/math/algebra/expressions-equations/distributive-property/","/resources/","Resources","global-navigation","resource-library"
"/subjects/math/algebra/expressions-equations/distributive-property/","/practice/","Practice","global-navigation","directory"
"/subjects/math/algebra/expressions-equations/distributive-property/","/tools/","Tools","global-navigation","directory"
"/subjects/math/algebra/expressions-equations/distributive-property/","/glossary/math/","Glossary","global-navigation","glossary-hub"
"/subjects/math/algebra/expressions-equations/distributive-property/","/search/","⌕ Search","global-navigation","search"
"/subjects/math/algebra/expressions-equations/distributive-property/","/search/","Search Find a lesson or answer","mobile-navigation","search"
"/subjects/math/algebra/expressions-equations/distributive-property/","/subjects/math/algebra/","Algebra Open the course","mobile-navigation","course-hub"
"/subjects/math/algebra/expressions-equations/distributive-property/","/subjects/math/calculus/","Calculus Open the full course map","mobile-navigation","course-hub"
"/subjects/math/algebra/expressions-equations/distributive-property/","/subjects/math/calculus/limits-continuity/","Chapter 1 Limits and Continuity","mobile-navigation","unit-hub"
"/subjects/math/algebra/expressions-equations/distributive-property/","/subjects/math/calculus/derivatives/","Chapter 2 Derivatives · Units 2A and 2B","mobile-navigation","unit-hub"
"/subjects/math/algebra/expressions-equations/distributive-property/","/subjects/math/calculus/integrals/","Chapter 3 Integrals · Units 3A and 3B","mobile-navigation","unit-hub"
"/subjects/math/algebra/expressions-equations/distributive-property/","/subjects/math/calculus/sequences-and-series/","Chapter 4 Sequences and Series · Units 4A and 4B","mobile-navigation","unit-hub"
"/subjects/math/algebra/expressions-equations/distributive-property/","/glossary/math/","Learn more →","global-navigation","glossary-hub"
"/subjects/math/algebra/expressions-equations/distributive-property/","/glossary/math/","Math glossary →","global-navigation","glossary-hub"
"/subjects/math/algebra/expressions-equations/distributive-property/","/subjects/","Subjects","breadcrumb","subject-hub"
"/subjects/math/algebra/expressions-equations/distributive-property/","/subjects/math/","Mathematics","breadcrumb","subject-hub"
"/subjects/math/algebra/expressions-equations/distributive-property/","/subjects/math/algebra/","Algebra","breadcrumb","course-hub"
"/subjects/math/algebra/expressions-equations/distributive-property/","/subjects/math/algebra/expressions-equations/","Equations","breadcrumb","quick-answer"
"/subjects/math/algebra/expressions-equations/distributive-property/","/subjects/math/algebra/expressions-equations/combining-like-terms/","← Previous in Equations Combining like terms","sequential-previous","method-guide"
"/subjects/math/algebra/expressions-equations/distributive-property/","/subjects/math/algebra/expressions-equations/solving-linear-equations/","Next in Equations → Solve linear equations","sequential-next","decision-guide"
"/subjects/math/algebra/expressions-equations/distributive-property/","/","≥ Better Grades","footer","home"
"/subjects/math/algebra/expressions-equations/distributive-property/","/subjects/","Subjects","footer","subject-hub"
"/subjects/math/algebra/expressions-equations/distributive-property/","/resources/","Resources","footer","resource-library"
"/subjects/math/algebra/expressions-equations/distributive-property/","/answers/","Answers","footer","directory"
"/subjects/math/algebra/expressions-equations/distributive-property/","/tools/","Tools","footer","directory"
"/subjects/math/algebra/expressions-equations/distributive-property/","/practice/","Practice","footer","directory"
"/subjects/math/algebra/expressions-equations/distributive-property/","/glossary/math/","Math glossary","footer","glossary-hub"
"/subjects/math/algebra/expressions-equations/distributive-property/","/glossary/math/conventions/","Math conventions","footer","glossary-term"
"/subjects/math/algebra/expressions-equations/distributive-property/","/how-we-verify/","How we verify","footer","policy"
"/subjects/math/algebra/expressions-equations/distributive-property/","/editorial-policy/","Editorial policy","footer","policy"
"/subjects/math/algebra/expressions-equations/distributive-property/","/source-policy/","Sources & licensing","footer","policy"
"/subjects/math/algebra/expressions-equations/distributive-property/","/corrections/","Corrections","footer","policy"
"/subjects/math/algebra/expressions-equations/distributive-property/","/about/","Why Better Grades","footer","policy"
"/subjects/math/algebra/expressions-equations/distributive-property/","/privacy/","Privacy","footer","policy"
"/subjects/math/algebra/expressions-equations/distributive-property/","/accessibility/","Accessibility","footer","policy"
"/subjects/math/algebra/expressions-equations/evaluating-expressions-by-substitution/","/","≥ Better Grades","global-navigation","home"
"/subjects/math/algebra/expressions-equations/evaluating-expressions-by-substitution/","/subjects/math/algebra/","Algebra Foundations through functions","global-navigation","course-hub"
"/subjects/math/algebra/expressions-equations/evaluating-expressions-by-substitution/","/subjects/math/calculus/","Calculus The complete course navigator","global-navigation","course-hub"
"/subjects/math/algebra/expressions-equations/evaluating-expressions-by-substitution/","/subjects/math/","All mathematics Browse every course and resource","global-navigation","subject-hub"
"/subjects/math/algebra/expressions-equations/evaluating-expressions-by-substitution/","/subjects/math/calculus/limits-continuity/","Chapter 1 Limits and Continuity","global-navigation","unit-hub"
"/subjects/math/algebra/expressions-equations/evaluating-expressions-by-substitution/","/subjects/math/calculus/derivatives/","Chapter 2 Derivatives · Units 2A and 2B","global-navigation","unit-hub"
"/subjects/math/algebra/expressions-equations/evaluating-expressions-by-substitution/","/subjects/math/calculus/integrals/","Chapter 3 Integrals · Units 3A and 3B","global-navigation","unit-hub"
"/subjects/math/algebra/expressions-equations/evaluating-expressions-by-substitution/","/subjects/math/calculus/sequences-and-series/","Chapter 4 Sequences and Series · Units 4A and 4B","global-navigation","unit-hub"
"/subjects/math/algebra/expressions-equations/evaluating-expressions-by-substitution/","/search/","Find an answer Search lessons, methods, and examples","global-navigation","search"
"/subjects/math/algebra/expressions-equations/evaluating-expressions-by-substitution/","/practice/math/calculus/","Calculus practice Quizzes, reviews, and exams","global-navigation","assessment"
"/subjects/math/algebra/expressions-equations/evaluating-expressions-by-substitution/","/resources/","Resources","global-navigation","resource-library"
"/subjects/math/algebra/expressions-equations/evaluating-expressions-by-substitution/","/practice/","Practice","global-navigation","directory"
"/subjects/math/algebra/expressions-equations/evaluating-expressions-by-substitution/","/tools/","Tools","global-navigation","directory"
"/subjects/math/algebra/expressions-equations/evaluating-expressions-by-substitution/","/glossary/math/","Glossary","global-navigation","glossary-hub"
"/subjects/math/algebra/expressions-equations/evaluating-expressions-by-substitution/","/search/","⌕ Search","global-navigation","search"
"/subjects/math/algebra/expressions-equations/evaluating-expressions-by-substitution/","/search/","Search Find a lesson or answer","mobile-navigation","search"
"/subjects/math/algebra/expressions-equations/evaluating-expressions-by-substitution/","/subjects/math/algebra/","Algebra Open the course","mobile-navigation","course-hub"
"/subjects/math/algebra/expressions-equations/evaluating-expressions-by-substitution/","/subjects/math/calculus/","Calculus Open the full course map","mobile-navigation","course-hub"
"/subjects/math/algebra/expressions-equations/evaluating-expressions-by-substitution/","/subjects/math/calculus/limits-continuity/","Chapter 1 Limits and Continuity","mobile-navigation","unit-hub"
"/subjects/math/algebra/expressions-equations/evaluating-expressions-by-substitution/","/subjects/math/calculus/derivatives/","Chapter 2 Derivatives · Units 2A and 2B","mobile-navigation","unit-hub"
"/subjects/math/algebra/expressions-equations/evaluating-expressions-by-substitution/","/subjects/math/calculus/integrals/","Chapter 3 Integrals · Units 3A and 3B","mobile-navigation","unit-hub"
"/subjects/math/algebra/expressions-equations/evaluating-expressions-by-substitution/","/subjects/math/calculus/sequences-and-series/","Chapter 4 Sequences and Series · Units 4A and 4B","mobile-navigation","unit-hub"
"/subjects/math/algebra/expressions-equations/evaluating-expressions-by-substitution/","/glossary/math/","Learn more →","global-navigation","glossary-hub"
"/subjects/math/algebra/expressions-equations/evaluating-expressions-by-substitution/","/glossary/math/","Math glossary →","global-navigation","glossary-hub"
"/subjects/math/algebra/expressions-equations/evaluating-expressions-by-substitution/","/subjects/","Subjects","breadcrumb","subject-hub"
"/subjects/math/algebra/expressions-equations/evaluating-expressions-by-substitution/","/subjects/math/","Mathematics","breadcrumb","subject-hub"
"/subjects/math/algebra/expressions-equations/evaluating-expressions-by-substitution/","/subjects/math/algebra/","Algebra","breadcrumb","course-hub"
"/subjects/math/algebra/expressions-equations/evaluating-expressions-by-substitution/","/subjects/math/algebra/expressions-equations/","Equations","breadcrumb","quick-answer"
"/subjects/math/algebra/expressions-equations/evaluating-expressions-by-substitution/","/subjects/math/algebra/expressions-equations/variables-on-both-sides/","← Previous in Equations Variables on both sides","sequential-previous","decision-guide"
"/subjects/math/algebra/expressions-equations/evaluating-expressions-by-substitution/","/subjects/math/algebra/linear-relationships/","Next topic → Linear Relationships","sequential-next","quick-answer"
"/subjects/math/algebra/expressions-equations/evaluating-expressions-by-substitution/","/","≥ Better Grades","footer","home"
"/subjects/math/algebra/expressions-equations/evaluating-expressions-by-substitution/","/subjects/","Subjects","footer","subject-hub"
"/subjects/math/algebra/expressions-equations/evaluating-expressions-by-substitution/","/resources/","Resources","footer","resource-library"
"/subjects/math/algebra/expressions-equations/evaluating-expressions-by-substitution/","/answers/","Answers","footer","directory"
"/subjects/math/algebra/expressions-equations/evaluating-expressions-by-substitution/","/tools/","Tools","footer","directory"
"/subjects/math/algebra/expressions-equations/evaluating-expressions-by-substitution/","/practice/","Practice","footer","directory"
"/subjects/math/algebra/expressions-equations/evaluating-expressions-by-substitution/","/glossary/math/","Math glossary","footer","glossary-hub"
"/subjects/math/algebra/expressions-equations/evaluating-expressions-by-substitution/","/glossary/math/conventions/","Math conventions","footer","glossary-term"
"/subjects/math/algebra/expressions-equations/evaluating-expressions-by-substitution/","/how-we-verify/","How we verify","footer","policy"
"/subjects/math/algebra/expressions-equations/evaluating-expressions-by-substitution/","/editorial-policy/","Editorial policy","footer","policy"
"/subjects/math/algebra/expressions-equations/evaluating-expressions-by-substitution/","/source-policy/","Sources & licensing","footer","policy"
"/subjects/math/algebra/expressions-equations/evaluating-expressions-by-substitution/","/corrections/","Corrections","footer","policy"
"/subjects/math/algebra/expressions-equations/evaluating-expressions-by-substitution/","/about/","Why Better Grades","footer","policy"
"/subjects/math/algebra/expressions-equations/evaluating-expressions-by-substitution/","/privacy/","Privacy","footer","policy"
"/subjects/math/algebra/expressions-equations/evaluating-expressions-by-substitution/","/accessibility/","Accessibility","footer","policy"
"/subjects/math/algebra/expressions-equations/order-of-operations-with-variables/","/","≥ Better Grades","global-navigation","home"
"/subjects/math/algebra/expressions-equations/order-of-operations-with-variables/","/subjects/math/algebra/","Algebra Foundations through functions","global-navigation","course-hub"
"/subjects/math/algebra/expressions-equations/order-of-operations-with-variables/","/subjects/math/calculus/","Calculus The complete course navigator","global-navigation","course-hub"
"/subjects/math/algebra/expressions-equations/order-of-operations-with-variables/","/subjects/math/","All mathematics Browse every course and resource","global-navigation","subject-hub"
"/subjects/math/algebra/expressions-equations/order-of-operations-with-variables/","/subjects/math/calculus/limits-continuity/","Chapter 1 Limits and Continuity","global-navigation","unit-hub"
"/subjects/math/algebra/expressions-equations/order-of-operations-with-variables/","/subjects/math/calculus/derivatives/","Chapter 2 Derivatives · Units 2A and 2B","global-navigation","unit-hub"
"/subjects/math/algebra/expressions-equations/order-of-operations-with-variables/","/subjects/math/calculus/integrals/","Chapter 3 Integrals · Units 3A and 3B","global-navigation","unit-hub"
"/subjects/math/algebra/expressions-equations/order-of-operations-with-variables/","/subjects/math/calculus/sequences-and-series/","Chapter 4 Sequences and Series · Units 4A and 4B","global-navigation","unit-hub"
"/subjects/math/algebra/expressions-equations/order-of-operations-with-variables/","/search/","Find an answer Search lessons, methods, and examples","global-navigation","search"
"/subjects/math/algebra/expressions-equations/order-of-operations-with-variables/","/practice/math/calculus/","Calculus practice Quizzes, reviews, and exams","global-navigation","assessment"
"/subjects/math/algebra/expressions-equations/order-of-operations-with-variables/","/resources/","Resources","global-navigation","resource-library"
"/subjects/math/algebra/expressions-equations/order-of-operations-with-variables/","/practice/","Practice","global-navigation","directory"
"/subjects/math/algebra/expressions-equations/order-of-operations-with-variables/","/tools/","Tools","global-navigation","directory"
"/subjects/math/algebra/expressions-equations/order-of-operations-with-variables/","/glossary/math/","Glossary","global-navigation","glossary-hub"
"/subjects/math/algebra/expressions-equations/order-of-operations-with-variables/","/search/","⌕ Search","global-navigation","search"
"/subjects/math/algebra/expressions-equations/order-of-operations-with-variables/","/search/","Search Find a lesson or answer","mobile-navigation","search"
"/subjects/math/algebra/expressions-equations/order-of-operations-with-variables/","/subjects/math/algebra/","Algebra Open the course","mobile-navigation","course-hub"
"/subjects/math/algebra/expressions-equations/order-of-operations-with-variables/","/subjects/math/calculus/","Calculus Open the full course map","mobile-navigation","course-hub"
"/subjects/math/algebra/expressions-equations/order-of-operations-with-variables/","/subjects/math/calculus/limits-continuity/","Chapter 1 Limits and Continuity","mobile-navigation","unit-hub"
"/subjects/math/algebra/expressions-equations/order-of-operations-with-variables/","/subjects/math/calculus/derivatives/","Chapter 2 Derivatives · Units 2A and 2B","mobile-navigation","unit-hub"
"/subjects/math/algebra/expressions-equations/order-of-operations-with-variables/","/subjects/math/calculus/integrals/","Chapter 3 Integrals · Units 3A and 3B","mobile-navigation","unit-hub"
"/subjects/math/algebra/expressions-equations/order-of-operations-with-variables/","/subjects/math/calculus/sequences-and-series/","Chapter 4 Sequences and Series · Units 4A and 4B","mobile-navigation","unit-hub"
"/subjects/math/algebra/expressions-equations/order-of-operations-with-variables/","/glossary/math/","Learn more →","global-navigation","glossary-hub"
"/subjects/math/algebra/expressions-equations/order-of-operations-with-variables/","/glossary/math/","Math glossary →","global-navigation","glossary-hub"
"/subjects/math/algebra/expressions-equations/order-of-operations-with-variables/","/subjects/","Subjects","breadcrumb","subject-hub"
"/subjects/math/algebra/expressions-equations/order-of-operations-with-variables/","/subjects/math/","Mathematics","breadcrumb","subject-hub"
"/subjects/math/algebra/expressions-equations/order-of-operations-with-variables/","/subjects/math/algebra/","Algebra","breadcrumb","course-hub"
"/subjects/math/algebra/expressions-equations/order-of-operations-with-variables/","/subjects/math/algebra/expressions-equations/","Equations","breadcrumb","quick-answer"
"/subjects/math/algebra/expressions-equations/order-of-operations-with-variables/","/subjects/math/algebra/expressions-equations/combining-like-terms/","Next in Equations → Combining like terms","sequential-next","method-guide"
"/subjects/math/algebra/expressions-equations/order-of-operations-with-variables/","/","≥ Better Grades","footer","home"
"/subjects/math/algebra/expressions-equations/order-of-operations-with-variables/","/subjects/","Subjects","footer","subject-hub"
"/subjects/math/algebra/expressions-equations/order-of-operations-with-variables/","/resources/","Resources","footer","resource-library"
"/subjects/math/algebra/expressions-equations/order-of-operations-with-variables/","/answers/","Answers","footer","directory"
"/subjects/math/algebra/expressions-equations/order-of-operations-with-variables/","/tools/","Tools","footer","directory"
"/subjects/math/algebra/expressions-equations/order-of-operations-with-variables/","/practice/","Practice","footer","directory"
"/subjects/math/algebra/expressions-equations/order-of-operations-with-variables/","/glossary/math/","Math glossary","footer","glossary-hub"
"/subjects/math/algebra/expressions-equations/order-of-operations-with-variables/","/glossary/math/conventions/","Math conventions","footer","glossary-term"
"/subjects/math/algebra/expressions-equations/order-of-operations-with-variables/","/how-we-verify/","How we verify","footer","policy"
"/subjects/math/algebra/expressions-equations/order-of-operations-with-variables/","/editorial-policy/","Editorial policy","footer","policy"
"/subjects/math/algebra/expressions-equations/order-of-operations-with-variables/","/source-policy/","Sources & licensing","footer","policy"
"/subjects/math/algebra/expressions-equations/order-of-operations-with-variables/","/corrections/","Corrections","footer","policy"
"/subjects/math/algebra/expressions-equations/order-of-operations-with-variables/","/about/","Why Better Grades","footer","policy"
"/subjects/math/algebra/expressions-equations/order-of-operations-with-variables/","/privacy/","Privacy","footer","policy"
"/subjects/math/algebra/expressions-equations/order-of-operations-with-variables/","/accessibility/","Accessibility","footer","policy"
"/subjects/math/algebra/expressions-equations/solving-linear-equations/","/","≥ Better Grades","global-navigation","home"
"/subjects/math/algebra/expressions-equations/solving-linear-equations/","/subjects/math/algebra/","Algebra Foundations through functions","global-navigation","course-hub"
"/subjects/math/algebra/expressions-equations/solving-linear-equations/","/subjects/math/calculus/","Calculus The complete course navigator","global-navigation","course-hub"
"/subjects/math/algebra/expressions-equations/solving-linear-equations/","/subjects/math/","All mathematics Browse every course and resource","global-navigation","subject-hub"
"/subjects/math/algebra/expressions-equations/solving-linear-equations/","/subjects/math/calculus/limits-continuity/","Chapter 1 Limits and Continuity","global-navigation","unit-hub"
"/subjects/math/algebra/expressions-equations/solving-linear-equations/","/subjects/math/calculus/derivatives/","Chapter 2 Derivatives · Units 2A and 2B","global-navigation","unit-hub"
"/subjects/math/algebra/expressions-equations/solving-linear-equations/","/subjects/math/calculus/integrals/","Chapter 3 Integrals · Units 3A and 3B","global-navigation","unit-hub"
"/subjects/math/algebra/expressions-equations/solving-linear-equations/","/subjects/math/calculus/sequences-and-series/","Chapter 4 Sequences and Series · Units 4A and 4B","global-navigation","unit-hub"
"/subjects/math/algebra/expressions-equations/solving-linear-equations/","/search/","Find an answer Search lessons, methods, and examples","global-navigation","search"
"/subjects/math/algebra/expressions-equations/solving-linear-equations/","/practice/math/calculus/","Calculus practice Quizzes, reviews, and exams","global-navigation","assessment"
"/subjects/math/algebra/expressions-equations/solving-linear-equations/","/resources/","Resources","global-navigation","resource-library"
"/subjects/math/algebra/expressions-equations/solving-linear-equations/","/practice/","Practice","global-navigation","directory"
"/subjects/math/algebra/expressions-equations/solving-linear-equations/","/tools/","Tools","global-navigation","directory"
"/subjects/math/algebra/expressions-equations/solving-linear-equations/","/glossary/math/","Glossary","global-navigation","glossary-hub"
"/subjects/math/algebra/expressions-equations/solving-linear-equations/","/search/","⌕ Search","global-navigation","search"
"/subjects/math/algebra/expressions-equations/solving-linear-equations/","/search/","Search Find a lesson or answer","mobile-navigation","search"
"/subjects/math/algebra/expressions-equations/solving-linear-equations/","/subjects/math/algebra/","Algebra Open the course","mobile-navigation","course-hub"
"/subjects/math/algebra/expressions-equations/solving-linear-equations/","/subjects/math/calculus/","Calculus Open the full course map","mobile-navigation","course-hub"
"/subjects/math/algebra/expressions-equations/solving-linear-equations/","/subjects/math/calculus/limits-continuity/","Chapter 1 Limits and Continuity","mobile-navigation","unit-hub"
"/subjects/math/algebra/expressions-equations/solving-linear-equations/","/subjects/math/calculus/derivatives/","Chapter 2 Derivatives · Units 2A and 2B","mobile-navigation","unit-hub"
"/subjects/math/algebra/expressions-equations/solving-linear-equations/","/subjects/math/calculus/integrals/","Chapter 3 Integrals · Units 3A and 3B","mobile-navigation","unit-hub"
"/subjects/math/algebra/expressions-equations/solving-linear-equations/","/subjects/math/calculus/sequences-and-series/","Chapter 4 Sequences and Series · Units 4A and 4B","mobile-navigation","unit-hub"
"/subjects/math/algebra/expressions-equations/solving-linear-equations/","/glossary/math/","Learn more →","global-navigation","glossary-hub"
"/subjects/math/algebra/expressions-equations/solving-linear-equations/","/glossary/math/","Math glossary →","global-navigation","glossary-hub"
"/subjects/math/algebra/expressions-equations/solving-linear-equations/","/subjects/","Subjects","breadcrumb","subject-hub"
"/subjects/math/algebra/expressions-equations/solving-linear-equations/","/subjects/math/","Mathematics","breadcrumb","subject-hub"
"/subjects/math/algebra/expressions-equations/solving-linear-equations/","/subjects/math/algebra/","Algebra","breadcrumb","course-hub"
"/subjects/math/algebra/expressions-equations/solving-linear-equations/","/subjects/math/algebra/expressions-equations/","Equations","breadcrumb","quick-answer"
"/subjects/math/algebra/expressions-equations/solving-linear-equations/","/subjects/math/algebra/expressions-equations/distributive-property/","← Previous in Equations Distributive property","sequential-previous","method-guide"
"/subjects/math/algebra/expressions-equations/solving-linear-equations/","/subjects/math/algebra/expressions-equations/variables-on-both-sides/","Next in Equations → Variables on both sides","sequential-next","decision-guide"
"/subjects/math/algebra/expressions-equations/solving-linear-equations/","/","≥ Better Grades","footer","home"
"/subjects/math/algebra/expressions-equations/solving-linear-equations/","/subjects/","Subjects","footer","subject-hub"
"/subjects/math/algebra/expressions-equations/solving-linear-equations/","/resources/","Resources","footer","resource-library"
"/subjects/math/algebra/expressions-equations/solving-linear-equations/","/answers/","Answers","footer","directory"
"/subjects/math/algebra/expressions-equations/solving-linear-equations/","/tools/","Tools","footer","directory"
"/subjects/math/algebra/expressions-equations/solving-linear-equations/","/practice/","Practice","footer","directory"
"/subjects/math/algebra/expressions-equations/solving-linear-equations/","/glossary/math/","Math glossary","footer","glossary-hub"
"/subjects/math/algebra/expressions-equations/solving-linear-equations/","/glossary/math/conventions/","Math conventions","footer","glossary-term"
"/subjects/math/algebra/expressions-equations/solving-linear-equations/","/how-we-verify/","How we verify","footer","policy"
"/subjects/math/algebra/expressions-equations/solving-linear-equations/","/editorial-policy/","Editorial policy","footer","policy"
"/subjects/math/algebra/expressions-equations/solving-linear-equations/","/source-policy/","Sources & licensing","footer","policy"
"/subjects/math/algebra/expressions-equations/solving-linear-equations/","/corrections/","Corrections","footer","policy"
"/subjects/math/algebra/expressions-equations/solving-linear-equations/","/about/","Why Better Grades","footer","policy"
"/subjects/math/algebra/expressions-equations/solving-linear-equations/","/privacy/","Privacy","footer","policy"
"/subjects/math/algebra/expressions-equations/solving-linear-equations/","/accessibility/","Accessibility","footer","policy"
"/subjects/math/algebra/expressions-equations/variables-on-both-sides/","/","≥ Better Grades","global-navigation","home"
"/subjects/math/algebra/expressions-equations/variables-on-both-sides/","/subjects/math/algebra/","Algebra Foundations through functions","global-navigation","course-hub"
"/subjects/math/algebra/expressions-equations/variables-on-both-sides/","/subjects/math/calculus/","Calculus The complete course navigator","global-navigation","course-hub"
"/subjects/math/algebra/expressions-equations/variables-on-both-sides/","/subjects/math/","All mathematics Browse every course and resource","global-navigation","subject-hub"
"/subjects/math/algebra/expressions-equations/variables-on-both-sides/","/subjects/math/calculus/limits-continuity/","Chapter 1 Limits and Continuity","global-navigation","unit-hub"
"/subjects/math/algebra/expressions-equations/variables-on-both-sides/","/subjects/math/calculus/derivatives/","Chapter 2 Derivatives · Units 2A and 2B","global-navigation","unit-hub"
"/subjects/math/algebra/expressions-equations/variables-on-both-sides/","/subjects/math/calculus/integrals/","Chapter 3 Integrals · Units 3A and 3B","global-navigation","unit-hub"
"/subjects/math/algebra/expressions-equations/variables-on-both-sides/","/subjects/math/calculus/sequences-and-series/","Chapter 4 Sequences and Series · Units 4A and 4B","global-navigation","unit-hub"
"/subjects/math/algebra/expressions-equations/variables-on-both-sides/","/search/","Find an answer Search lessons, methods, and examples","global-navigation","search"
"/subjects/math/algebra/expressions-equations/variables-on-both-sides/","/practice/math/calculus/","Calculus practice Quizzes, reviews, and exams","global-navigation","assessment"
"/subjects/math/algebra/expressions-equations/variables-on-both-sides/","/resources/","Resources","global-navigation","resource-library"
"/subjects/math/algebra/expressions-equations/variables-on-both-sides/","/practice/","Practice","global-navigation","directory"
"/subjects/math/algebra/expressions-equations/variables-on-both-sides/","/tools/","Tools","global-navigation","directory"
"/subjects/math/algebra/expressions-equations/variables-on-both-sides/","/glossary/math/","Glossary","global-navigation","glossary-hub"
"/subjects/math/algebra/expressions-equations/variables-on-both-sides/","/search/","⌕ Search","global-navigation","search"
"/subjects/math/algebra/expressions-equations/variables-on-both-sides/","/search/","Search Find a lesson or answer","mobile-navigation","search"
"/subjects/math/algebra/expressions-equations/variables-on-both-sides/","/subjects/math/algebra/","Algebra Open the course","mobile-navigation","course-hub"
"/subjects/math/algebra/expressions-equations/variables-on-both-sides/","/subjects/math/calculus/","Calculus Open the full course map","mobile-navigation","course-hub"
"/subjects/math/algebra/expressions-equations/variables-on-both-sides/","/subjects/math/calculus/limits-continuity/","Chapter 1 Limits and Continuity","mobile-navigation","unit-hub"
