route,page_role,query_type,query,first_result
"/glossary/math/conventions/","glossary-term","slug_without_hyphens","conventions",""
"/glossary/math/conventions/","glossary-term","primary_skill","glossary term conventions","/subjects/math/calculus/sequences-and-series/nth-term-divergence-test/"
"/practice/math/","assessment","slug_without_hyphens","math","/glossary/math/#mathematical-model"
"/practice/math/","assessment","primary_skill","assessment math","/glossary/math/#mathematical-model"
"/practice/math/calculus/","assessment","slug_without_hyphens","calculus","/subjects/math/calculus/practice-exams/calculus-1-final/"
"/practice/math/calculus/","assessment","primary_skill","assessment calculus","/subjects/math/calculus/derivatives/unit-2a-practice-exam-a/"
"/subjects/math/calculus/derivative-applications/lhopital-zero-over-zero/","textbook-lesson","slug_without_hyphens","lhopital zero over zero","/glossary/math/#zero-product-property"
